ID,brand,Origin of brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,seats,selling_price
1,Toyota,Asian,5,80000,Dealer,Petrol,Automatic,9,4461,8,9200000
2,Land Rover,European,4,9500,Dealer,Diesel,Automatic,12.65,2993,5,9200000
3,Toyota,Asian,2,36000,Dealer,Diesel,Automatic,11,2982,7,8750000
4,BMW,European,3,50000,Individual,Diesel,Automatic,16.77,2993,5,8500000
5,BMW,European,3,19000,Dealer,Diesel,Automatic,17.66,2993,4,8500000
6,BMW,European,6,26724,Dealer,Petrol,Automatic,9,4395,5,8500000
7,Jaguar,European,5,13146,Dealer,Diesel,Automatic,10.5,2993,4,8500000
8,BMW,European,4,34000,Dealer,Diesel,Automatic,15.87,2993,5,8400000
9,BMW,European,1,2000,Dealer,Petrol,Automatic,11.29,2998,2,8250000
10,BMW,European,3,16000,Dealer,Diesel,Automatic,16.77,2993,5,8200000
11,Volvo,European,1,9000,Dealer,Diesel,Automatic,17.2,1969,7,8195000
12,Mercedes-Benz,European,4,6500,Dealer,Diesel,Automatic,13.5,2987,5,8150000
13,Porsche,European,2,5000,Dealer,Petrol,Manual,14.08,3436,2,8100000
14,BMW,European,2,10000,Dealer,Diesel,Automatic,13.38,2993,5,8100000
15,BMW,European,2,10351,Dealer,Diesel,Automatic,13.38,2993,5,8100000
16,Bentley,European,10,30000,Dealer,Petrol,Automatic,8.6,5998,4,8100000
17,Volvo,European,1,9500,Dealer,Diesel,Automatic,17.2,1969,7,8000000
18,Lexus,Asian,5,17272,Dealer,Petrol,Automatic,18.8,3456,5,8000000
19,Mercedes-Benz,European,3,15000,Dealer,Diesel,Automatic,11,2987,7,8000000
20,BMW,European,2,7000,Dealer,Diesel,Automatic,13.38,2993,5,7985000
21,BMW,European,3,19100,Dealer,Diesel,Automatic,16.77,2993,5,7975000
22,BMW,European,2,19000,Individual,Diesel,Automatic,13.38,2993,5,7900000
23,Porsche,European,4,36000,Dealer,Petrol,Automatic,12.5,3604,5,7800000
24,Land Rover,European,8,75000,Dealer,Diesel,Automatic,13.33,2993,5,7800000
25,Mercedes-Benz,European,4,11500,Dealer,Petrol,Automatic,11.5,2996,5,7595000
26,BMW,European,4,21119,Dealer,Diesel,Automatic,16.46,2993,5,7500000
27,Jaguar,European,4,9000,Dealer,Petrol,Automatic,15.15,2995,2,7500000
28,Mercedes-Benz,European,2,6000,Dealer,Diesel,Automatic,19,1950,5,7500000
29,Porsche,European,5,38646,Dealer,Diesel,Automatic,13.33,3598,5,7200000
30,Mercedes-Benz,European,3,15000,Dealer,Diesel,Automatic,11,2987,7,7199000
31,Land Rover,European,3,13000,Dealer,Petrol,Automatic,12.19,1997,4,7000000
32,Ford,American,4,9200,Dealer,Petrol,Automatic,13,4951,4,7000000
33,Mercedes-Benz,European,4,37000,Dealer,Diesel,Automatic,11,2987,7,7000000
34,Mercedes-Benz,European,3,28000,Dealer,Petrol,Automatic,8.9,2996,7,7000000
35,Mercedes-Benz,European,4,32000,Dealer,Diesel,Automatic,11,2987,7,7000000
36,BMW,European,4,8000,Dealer,Petrol,Automatic,10.75,2979,5,6999000
37,Volvo,European,2,25500,Dealer,Diesel,Automatic,17.2,1969,7,6975000
38,Land Rover,European,2,19000,Dealer,Diesel,Automatic,22.3,1999,5,6975000
39,Mercedes-Benz,European,3,28000,Dealer,Petrol,Automatic,8.9,2996,7,6950000
40,Mercedes-Benz,European,3,10000,Dealer,Petrol,Automatic,8.9,2996,7,6950000
41,Mercedes-Benz,European,4,5000,Dealer,Petrol,Automatic,19,2996,2,6950000
42,BMW,European,4,18000,Dealer,Diesel,Automatic,17.66,2993,4,6900000
43,Porsche,European,3,18000,Dealer,Petrol,Automatic,8.6,2706,2,6900000
44,Audi,European,1,4000,Dealer,Diesel,Automatic,14.75,2967,7,6800000
45,BMW,European,4,50000,Dealer,Diesel,Automatic,16.77,2993,5,6750000
46,Audi,European,2,14000,Dealer,Diesel,Automatic,14.75,2967,7,6645000
47,BMW,European,4,26000,Dealer,Diesel,Automatic,17.66,2993,4,6600000
48,Mercedes-Benz,European,3,47000,Dealer,Diesel,Automatic,11,2987,7,6600000
49,Mercedes-Benz,European,3,48000,Dealer,Diesel,Automatic,11,2987,7,6600000
50,BMW,European,2,7099,Dealer,Diesel,Automatic,14.71,2993,5,6500000
51,Mercedes-Benz,European,4,29000,Dealer,Diesel,Automatic,11,2987,7,6500000
52,BMW,European,2,9000,Dealer,Diesel,Automatic,17.09,2993,4,6500000
53,Porsche,European,8,25000,Dealer,Diesel,Automatic,7.5,4806,4,6500000
54,Ford,American,5,8000,Dealer,Petrol,Automatic,13,4951,4,6486000
55,BMW,European,2,9651,Dealer,Diesel,Automatic,17.09,2993,4,6475000
56,BMW,European,5,37000,Dealer,Diesel,Automatic,17.66,2993,4,6400000
57,BMW,European,3,12000,Dealer,Diesel,Automatic,17.09,2993,4,6400000
58,Lexus,Asian,3,7622,Dealer,Petrol,Automatic,18.32,2499,5,6400000
59,BMW,European,3,15000,Dealer,Diesel,Automatic,15.3,2993,5,6350000
60,Audi,European,4,54000,Dealer,Diesel,Automatic,12.07,2967,7,6350000
61,Jaguar,European,2,10000,Individual,Diesel,Automatic,16.38,1999,5,6300000
62,Land Rover,European,7,40000,Dealer,Diesel,Automatic,12.65,2993,5,6300000
63,Porsche,European,6,38000,Dealer,Diesel,Automatic,13.5,2967,5,6300000
64,Ford,American,3,30000,Dealer,Petrol,Automatic,13,4951,4,6300000
65,Land Rover,European,3,25000,Individual,Petrol,Automatic,9.17,2995,7,6200000
66,Ford,American,4,9500,Dealer,Petrol,Automatic,13,4951,4,6200000
67,Maserati,European,5,15000,Dealer,Diesel,Automatic,20.41,2987,5,6200000
68,Lexus,Asian,4,52000,Dealer,Petrol,Automatic,18.8,3456,5,6200000
69,Mercedes-Benz,European,3,19000,Dealer,Diesel,Automatic,17.9,2143,5,6199000
70,Mercedes-Benz,European,4,29000,Dealer,Diesel,Automatic,11,2987,7,6199000
71,BMW,European,2,8620,Dealer,Diesel,Automatic,18.56,1995,5,6100000
72,BMW,European,5,22000,Dealer,Diesel,Automatic,16.77,2993,5,6100000
73,Porsche,European,6,25000,Dealer,Diesel,Automatic,13.5,2967,5,6100000
74,Jaguar,European,6,10000,Individual,Diesel,Automatic,12.9,2993,5,6000000
75,Mercedes-Benz,European,3,15000,Dealer,Petrol,Automatic,11.5,2996,5,6000000
76,Porsche,European,6,46500,Dealer,Diesel,Automatic,13.5,2967,5,6000000
77,Maserati,European,5,9500,Dealer,Diesel,Automatic,19.23,2987,5,6000000
78,BMW,European,3,24000,Dealer,Diesel,Automatic,17.09,2993,4,6000000
79,Porsche,European,4,30350,Dealer,Petrol,Automatic,13.6,1984,5,5995000
80,Porsche,European,5,47000,Dealer,Diesel,Automatic,15.15,2967,5,5975000
81,Porsche,European,4,34000,Dealer,Petrol,Automatic,13.6,1984,5,5975000
82,Audi,European,1,1700,Dealer,Diesel,Automatic,17.01,1968,5,5950000
83,Jaguar,European,5,30000,Dealer,Diesel,Automatic,10.5,2993,4,5950000
84,Land Rover,European,5,80000,Dealer,Diesel,Automatic,12.65,2993,5,5950000
85,BMW,European,5,26700,Dealer,Diesel,Automatic,15.87,2993,5,5900000
86,Mercedes-Benz,European,5,11000,Dealer,Diesel,Automatic,11.57,2987,5,5900000
87,Nissan,Asian,4,40787,Dealer,Petrol,Automatic,19.34,1198,5,5900000
88,BMW,European,2,2300,Individual,Diesel,Automatic,17.09,1995,4,5899000
89,BMW,European,2,7500,Dealer,Diesel,Automatic,16.78,1995,5,5810000
90,Mercedes-Benz,European,2,27000,Dealer,Diesel,Automatic,17.9,2143,5,5800000
91,Mercedes-Benz,European,3,30200,Dealer,Diesel,Automatic,17.9,2143,5,5800000
92,BMW,European,3,16000,Dealer,Diesel,Automatic,18.59,2993,5,5800000
93,Audi,European,3,12500,Dealer,Petrol,Automatic,12.28,2995,4,5775000
94,BMW,European,1,5945,Dealer,Diesel,Automatic,17.09,1995,4,5750000
95,Mercedes-Benz,European,4,1198,Dealer,Petrol,Automatic,12,1991,5,5743000
96,Mercedes-Benz,European,2,10000,Individual,Diesel,Automatic,16.1,1950,5,5700000
97,BMW,European,2,6000,Dealer,Diesel,Automatic,18.59,2993,5,5700000
98,BMW,European,2,14000,Dealer,Petrol,Automatic,11.31,1998,5,5700000
99,BMW,European,2,7500,Dealer,Petrol,Automatic,14.28,1998,4,5700000
100,Mercedes-Benz,European,6,25000,Dealer,Diesel,Automatic,13.5,2987,5,5700000
101,Mercedes-Benz,European,6,19500,Dealer,Diesel,Automatic,13.5,2987,5,5700000
102,Land Rover,European,7,61000,Dealer,Diesel,Automatic,12.65,2993,5,5700000
103,Mercedes-Benz,European,6,20000,Dealer,Diesel,Automatic,13.5,2987,5,5675000
104,Land Rover,European,6,104000,Dealer,Diesel,Automatic,12.65,2993,5,5650000
105,BMW,European,3,11000,Dealer,Diesel,Automatic,17.09,2993,4,5600000
106,BMW,European,3,11000,Dealer,Diesel,Automatic,17.09,2993,4,5600000
107,Jeep,American,2,32000,Dealer,Petrol,Automatic,9.5,3604,5,5600000
108,BMW,European,3,30660,Dealer,Diesel,Automatic,22.48,1995,5,5595000
109,BMW,European,3,30000,Individual,Petrol,Automatic,14.28,1998,4,5500000
110,Jaguar,European,7,15000,Dealer,Diesel,Automatic,10.5,2993,4,5500000
111,Audi,European,6,25000,Dealer,Diesel,Automatic,11.8,2967,5,5500000
112,BMW,European,4,25000,Dealer,Diesel,Automatic,14.69,2993,5,5500000
113,BMW,European,6,30000,Individual,Diesel,Automatic,16.46,2993,5,5500000
114,Mercedes-Benz,European,7,20001,Dealer,Diesel,Automatic,13.5,2987,5,5500000
115,Mercedes-Benz,European,6,27000,Individual,Diesel,Automatic,13.5,2987,5,5500000
116,BMW,European,2,10000,Individual,Diesel,Automatic,16.78,1995,5,5500000
117,Volvo,European,3,33000,Dealer,Diesel,Automatic,17.2,1969,7,5499000
118,BMW,European,2,5700,Dealer,Petrol,Automatic,15.01,1998,5,5475000
119,Jaguar,European,3,18500,Dealer,Petrol,Automatic,9.43,1999,5,5400000
120,BMW,European,6,24000,Dealer,Diesel,Automatic,14.49,2993,5,5400000
